season,place,team,points,played,won,draw,loss,goals,goals_taken,goals_diff,aproveitamento,media_gols_marcados,media_gols_sofridos
2012,3,Grêmio,71,38,20,11,7,56,33,23,186.8421052631579,0.868421052631579,0.6052631578947368
2012,4,São Paulo,66,38,20,6,12,59,37,22,173.6842105263158,0.9736842105263158,0.5789473684210527
2012,5,Vasco,58,38,16,10,12,45,44,1,152.63157894736844,1.1578947368421053,0.02631578947368421
2012,6,Corinthians,57,38,15,12,11,51,39,12,150.0,1.0263157894736843,0.3157894736842105
2012,7,Botafogo,55,38,15,10,13,60,50,10,144.73684210526315,1.3157894736842106,0.2631578947368421
2012,8,Santos,53,38,13,14,11,50,44,6,139.4736842105263,1.1578947368421053,0.15789473684210525
2012,9,Cruzeiro,52,38,15,7,16,47,51,-4,136.8421052631579,1.3421052631578947,-0.10526315789473684
2012,10,Internacional,52,38,13,13,12,44,40,4,136.8421052631579,1.0526315789473684,0.10526315789473684
2012,11,Flamengo,50,38,12,14,12,39,46,-7,131.57894736842107,1.2105263157894737,-0.18421052631578946
2012,12,Náutico,49,38,14,7,17,44,51,-7,128.94736842105263,1.3421052631578947,-0.18421052631578946
2012,13,Coritiba,48,38,14,6,18,53,60,-7,126.3157894736842,1.5789473684210527,-0.18421052631578946
2012,14,Ponte Preta,48,38,12,12,14,37,44,-7,126.3157894736842,1.1578947368421053,-0.18421052631578946
2012,15,Bahia,47,38,11,14,13,37,41,-4,123.6842105263158,1.0789473684210527,-0.10526315789473684
2012,16,Portuguesa,45,38,10,15,13,39,41,-2,118.42105263157893,1.0789473684210527,-0.05263157894736842
2012,17,Sport,41,38,10,11,17,39,56,-17,107.89473684210526,1.4736842105263157,-0.4473684210526316
2012,18,Palmeiras,34,38,9,7,22,39,54,-15,89.47368421052632,1.4210526315789473,-0.39473684210526316
2012,19,Atlético Goianiense,30,38,7,9,22,37,67,-30,78.94736842105263,1.763157894736842,-0.7894736842105263
2012,20,Figueirense,30,38,7,9,22,39,72,-33,78.94736842105263,1.894736842105263,-0.868421052631579
2013,1,Cruzeiro,76,38,23,7,8,77,37,40,200.0,0.9736842105263158,1.0526315789473684
2013,2,Grêmio,65,38,18,11,9,42,35,7,171.05263157894737,0.9210526315789473,0.18421052631578946
2013,3,Athletico Paranaense,64,38,18,10,10,65,49,16,168.42105263157893,1.2894736842105263,0.42105263157894735
2013,4,Botafogo,61,38,17,10,11,55,41,14,160.5263157894737,1.0789473684210527,0.3684210526315789
2013,5,Vitória,59,38,16,11,11,59,53,6,155.26315789473685,1.394736842105263,0.15789473684210525
